X.SampleID,input,filtered,denoisedF,denoisedR,merged,nonchim
H2O_1,563,300,259,255,251,251
H2O_2,711,390,333,324,320,320
H2O_3,772,210,80,80,61,61
H2O_4,827,293,175,175,148,148
H2O_5,957,259,145,122,107,63
MS1_S53,136371,106226,102349,102554,93873,86085
MS10_S39,266429,220407,216602,217414,209591,124622
MS11_S44,198816,168878,164467,164984,157512,128659
MS12_S10,176163,157658,156936,157100,153692,144711
MS13_S70,136248,116145,115487,115500,113346,110278
MS14_S46,211014,183956,177240,177600,163589,146607
MS15_S9,141528,118831,118064,118070,116093,107438
MS16_S17,239859,197153,193974,194641,189319,121272
MS17_S61,144605,120099,118112,118079,114104,111681
MS18_S57,131377,112977,107192,107338,97068,91166
MS19_S60,66118,45115,41631,41819,35617,34944
MS2_S8,164241,139373,134264,134716,126384,88686
MS20_S25,188028,162396,156820,157245,146097,136014
MS21_S55,105626,83287,80100,80401,71758,62458
MS22_S66,69851,49529,46508,45688,37288,36114
MS23_S59,110891,87952,83031,83072,74335,71244
MS24_S67,82955,69506,69316,69391,69044,69016
MS25_S38,82448,74025,73897,73895,73737,70006
MS26_S43,97580,86570,86448,86426,86186,85451
MS27_S63,217612,167792,165793,166696,161195,93198
MS28_S26,88748,78797,78662,78613,78201,74849
MS29_S19,215828,168284,166183,167373,164183,85702
MS3_S2,144088,120756,117884,118187,112253,74751
MS30_S7,163244,138135,135058,135987,130384,97091
MS31_S4,156526,133807,133216,133244,131287,119513
MS32_S71,127407,93736,92788,93273,91150,54319
MS33_S14,140344,123481,123048,122984,121059,110932
MS34_S32,44653,38546,38300,38420,38205,37362
MS35_S3,269217,222742,216922,218192,206731,142664
MS36_S15,158704,139358,139089,139093,136746,132633
MS37_S64,67281,48309,47916,48162,47442,47000
MS38_S50,34063,23262,23050,23166,22494,21471
MS39_S28,237405,201286,199883,200360,196263,142752
MS4_S51,180616,148238,147009,146987,141020,121903
MS40_S29,194299,168350,167125,167859,165543,138030
MS41_S73,259531,188390,185339,187694,182996,100102
MS42_S30,212951,175361,174003,174594,172231,120933
MS43_S68,148237,116743,114228,114304,111432,101333
MS44_S62,88157,63155,61924,62849,61209,31613
MS45_S72,146200,113778,99902,100737,78748,74352
MS46_S5,175860,155686,155415,155460,153522,142469
MS47_S23,170362,140856,140612,140522,140141,138973
MS48_S56,127580,103148,102588,102857,101602,99181
MS49_S52,109970,82285,81556,81465,79270,77994
MS5_S54,172403,139609,136063,136666,128416,81079
MS50_S22,225546,196536,188730,189173,174486,164542
MS51_S35,177127,151402,144582,145038,131274,119723
MS52_S69,145124,124284,118458,118903,106881,97379
MS53_S1,218297,190168,182100,182485,169025,160600
MS54_S49,158301,129311,128687,129018,127847,104950
MS55_S18,5397,842,744,728,717,696
MS56_S48,139668,116475,114761,115397,112076,68062
MS57_S12,123014,105742,105335,105470,104628,68088
MS58_S13,230288,186387,183262,185657,182204,114986
MS59_S36,171032,151117,150856,150771,149465,137472
MS6_S45,260925,214889,210468,211383,202842,104298
MS60_S21,156515,140845,140659,140648,140039,134701
MS61_S41,188076,161727,156471,157037,143867,131521
MS62_S11,182063,157183,149816,150190,136147,127062
MS63_S34,186312,161435,153417,153318,140231,133302
MS64_S40,176755,151320,149763,149943,146270,143093
MS65_S33,185937,159918,154602,155039,143562,129835
MS67_S42,269313,239314,238393,238848,235015,186282
MS68_S27,101134,89527,89378,89352,88828,85646
MS7_S6,198524,170705,169202,169389,167161,130782
MS8_S47,257790,218340,212198,212508,199732,129318
MS9_S20,212700,183221,180803,181285,175402,131878
UMGC_304,228359,178179,177274,177478,169020,147803
